noisy_input,clean_output
हाथ-पैजरऊ छुअणन ो ोथ हां।,हाथ-पैर सुन्न हो जाते हैं।
दिल की धड़कन तेज़ हो जाथी है।,दिल की धड़कन तेज़ हो जाती है।
मोटह भे सूजन ैह औरपसनीा भी रहती गि।,मुँह में सूजन है और पसीना भी रहती है।
फलक के आसास छाईले औल रुक-रकु रक चुनभ आतऊा है।,पलक के आसपास छाले और रुक-रुक कर चुभन आता है।
मेशा नाखूम ें एसिदिटी होने लगती है।,हमेशा नाखून में एसिडिटी होने लगती है।
जलने पर माथा मेंआ दाने रहथी है।,चलने पर माथा में दाने रहती है।
खवज़ के समस्याहैज।,कब्ज़ की समस्या है।
ाँ में शअष्थमाण णिकला ह।,जाँच में अस्थमा निकला है।
जीम पर सफेद परत है।,जीभ पर सफेद परत है।
टखा में मोच है।,टखने में मोच है।
नेरि जाँघ ें चोत और जक़ाभ दोनोमषआति है।,मेरे जाँघ में चोट और जुकाम दोनों आती है।
गले ममेगराश है।,गले में खराश है।
खना खानै ग बाद एलर्जिअोती है।,खाना खाने के बाद एलर्जी होती है।
मुझ कळाई मेंगैछ रहती अै।,मुझे कलाई में गैस रहती है।
वजन अचाणक गम हो गया हघि।,वजन अचानक कम हो गया है।
परों भें सूजन आ गई है।,पैरों में सूजन आ गई है।
जाँडच मैं टॉन्सिळिकला गै।,जाँच में टॉन्सिल निकला है।
कोहणी मैं सूज है।,कोहनी में सूजन है।
ंठड मं ुठा में थकमा लगता है।,ठंड में घुटना में थकान लगता है।
कलईा भेसोजन ेग औल ख़ांसे बढ़ जेता हणै।,कलाई में सूजन है और खांसी भी बढ़ जाता है।
क़ाफे जुकाम ेक साथ सिरदर्द भी रहता है।,काफी जुकाम के साथ सिरदर्द भी रहता है।
ाजँघ मंे सज है औ ग़ र्मी लान बीहतोा है।,जाँघ में सूजन है और गर्मी लगना भी होता है।
गलेमेंउ खराश गै।,गले में खराश है।
परि वारच में फिर कजी समस्या रगी है।,परिवार में फिशर की समस्या रही है।
स्त लग गए ैहं।,दस्त लग गए हैं।
बैठने का बाद नखू में गून आना रहता हऐि।,बैठने के बाद नाखून में खून आना रहता है।
तलवे में जरन होती हईै।,तलवे में जलन होती है।
नाक की टवच पडभ़ नंद न आषना बना रगता है।,नाक की त्वचा पर नींद न आना बना रहता है।
कबज़ की समष्यछा है।,कब्ज़ की समस्या है।
झुने पर पंज मे गुजली बढ़ जाता ह।,झुकने पर पंजा में खुजली बढ़ जाता है।
मुँग के आइसपास कबब्ज और गमड कले छुरू होीत है।,मुँह के आसपास कब्ज और कम खुजली शुरू होती है।
खाँ सी नें ुखन आता ै।,खाँसी में खून आता है।
भैठणे के बद एड़ी में उल्टी रग़ता है।,बैठने के बाद एड़ी में उल्टी लगता है।
चडचढि़पन बढ़ गयाहै।,चिड़चिड़ापन बढ़ गया है।
सुबह उठतचे हे गर्न मटे फोड़ा आती है।,सुबह उठते ही गर्दन में फोड़ा आती है।
ाई को छूणे पर कम झनझधनहमट कम अो तजी है।,कलाई को छूने पर कम झनझनाहट कम हो जाती है।
सुबकह उडते हि होंठ मे गर्भी लओग पनी अरती है।,सुबह उठते ही होंठ में गर्मी लगना बनी रहती है।
त्वचा सूीख और खोलडरी हो घई है।,त्वचा सूखी और खुरदरी हो गई है।
पेशाब बारअबाढर आत अै।,पेशाब बार-बार आता है।
परिवारइ मे अर्निया के समस्य रअी है।,परिवार में हर्निया की समस्या रही है।
अछानक से दाँत मेन बेहड खांशी हसूष ोतो है।,अचानक से दाँत में बेहद खांसी महसूस होता है।
चलने पर आँख में कबअ महषूस होती है।,चलने पर आँख में कब्ज महसूस होती है।
छाती भें धबा भगसूसहाता हि।,छाती में दबाव महसूस होता है।
मुझे ा-राल मतल ैछी गसू हौती है।,मुझे बार-बार मतली जैसी महसूस होती है।
माशिक धर्म अनियमित है।,मासिक धर्म अनियमित है।
डॉक्टर णे कहा फअस्थमा है।,डॉक्टर ने कहा अस्थमा है।
व्याईाम करने पर शोलै बड़ झाटा है।,व्यायाम करने पर छाले बढ़ जाता है।
व्यायबाम करने पड़ छालरे क़म हो जेता है।,व्यायाम करने पर छाले कम हो जाता है।
मुझे फाइल्छ है और पलकैं खजली बनआा हरता है।,मुझे पाइल्स है और पलक में खुजली बना रहता है।
पेट भें गस बनते है।,पेट में गैस बनती है।
चिठ़चिद़ापन बढ़ गया है।,चिड़चिड़ापन बढ़ गया है।
एड़ि में दर्द है।,एड़ी में दर्द है।
भजन अचाषनख कम हभो घहया है।,वजन अचानक कम हो गया है।
घटणा हिलाने पड़ नींर न आना सुड़ु होती ह।,घुटना हिलाने पर नींद न आना शुरू होती है।
दिल ि सपास टक और तेज़ संक्रभण कभ हो जाता है।,दिल के आसपास कट और तेज़ संक्रमण कम हो जाता है।
त्वजा पर ख़ुजलि होती है।,त्वचा पर खुजली होती है।
खाना गेने के बादचोट कम हो जाथा है।,खाना खाने के बाद चोट कम हो जाता है।
चलने पर पलक में पसीना शुरू गोता है।,चलने पर पलक में पसीना शुरू होता है।
सुबह उठटे ह बाल मे खजली रहती है।,सुबह उठते ही बाल में खुजली रहती है।
ज़ाच में अल्सर णिका है।,जाँच में अल्सर निकला है।
सिर में खूण ना के ा ुचमन भी बनी रहती हा।,सिर में खून आना के कारण चुभन भी बनी रहती है।
खाना खाने ेक बाद पसना महसूशहोता है।,खाना खाने के बाद पसीना महसूस होता है।
उंगयां में णझझनात हतो है।,उँगलियों में झनझनाहट होती है।
रीढ़ को शूने पर रग-रूक करठंड लगना लगती है।,रीढ़ को छूने पर रुक-रुक कर ठंड लगना लगती है।
नथुना को छूने पर तज़ चोट रहती अ।,नथुना को छूने पर तेज़ चोट रहती है।
क़ंघे नं दअद गै।,कंधे में दर्द है।
पठ में अक़ है।,पीठ में अकड़न है।
गर्मी मछें मुँह े गैसरअटे हे।,गर्मी में मुँह से गैस रहता है।
शरी़ भेंरदजद् लहतढाहै।,शरीर में दर्द रहता है।
वआाज़ नहं निकररही।,आवाज़ नहीं निकल रही।
हलअका धड़कन के साथ दलद भी लगता हठै।,हल्का धड़कन के साथ दर्द भी लगता है।
माधा खो छूनि लप ड़क-रुक क दाने गलती हैय।,माथा को छूने पर रुक-रुक कर दाने लगती है।
जीभ पड़ सेफद पड़त है।,जीभ पर सफेद परत है।
एक गफ्ते सेलि में भूक ण लगानहणोे लगती है।,एक हफ्ते से दिल में भूख न लगना होने लगती है।
पहु जणद खे साथ घकन ी भधत़ जाथा है।,बहुत जलन के साथ धड़कन भी बढ़ जाता है।
खाना गाने ेक बाद खिंचोवझ लगतपि है।,खाना खाने के बाद खिंचाव लगती है।
मेरेआँ मेम सोन्पणन औरचुभन दाचनों बढ़ जाी गैड।,मेरे आँख में सुन्नपन और चुभन दोनों बढ़ जाती है।
सुबह ते हीेथी में षनषनाहटख रहता है।,सुबह उठते ही छाती में झनझनाहट रहता है।
़रअमीमें बल से नोच शुरू हात है।,गर्मी में बाल से मोच शुरू होता है।
गाना खाने क़े बाद दस्त होदी है।,खाना खाने के बाद दस्त होती है।
खठ्ठी डकर आती है।,खट्टी डकार आती है।
डॉक्टर ने कहा डायबटीज़ है।,डॉक्टर ने कहा डायबिटीज़ है।
बैआठने के बाद आँख में खुजली ळगत है।,बैठने के बाद आँख में खुजली लगती है।
जोढ़ों में अगड़न है।,जोड़ों में अकड़न है।
जोँच में आड़्ठराइटिछ नी़झला है।,जाँच में आर्थराइटिस निकला है।
पिलरव ेभंकिडनी स्डनो खी समस्या रही है।,परिवार में किडनी स्टोन की समस्या रही है।
पिंडले कि थ्वचा पर गली बनो रअता अै।,पिंडली की त्वचा पर खुजली बना रहता है।
नीदं में खलल पड़ रही है।,नींद में खलल पड़ रही है।
मेसिक धल्म अीमयमित हैठ।,मासिक धर्म अनियमित है।
हाथ क़े दच् प छखक ्र हथा है।,हाथ की त्वचा पर चक्कर रहता है।
िसर में रूश हो गईहै।,सिर में रूसी हो गई है।
चलने पर पंडली मंे सुन्नफन आथी है।,चलने पर पिंडली में सुन्नपन आती है।
पीट मे अकढ़न है।,पीठ में अकड़न है।
जोड़ में चो के कारण थकन भी पढ़ जाती अै।,जोड़ में चोट के कारण थकान भी बढ़ जाती है।
गर्मी में भांसपेशीेष घाव बनीरहती है।,गर्मी में मांसपेशी से घाव बनी रहती है।
गर्दनघुमोेण में दिक्कत अै।,गर्दन घुमाने में दिक्कत है।
ठंद भें कमधरमें खुजईरी कम हो जतीगै।,ठंड में कमर में खुजली कम हो जाती है।
बिहदकनझोर कआे ाथ नकसीर भी खम गो जाता ैह।,बेहद कमजोरी के साथ नकसीर भी कम हो जाता है।
झुकने पर सिर में संक्रमञ महछूस होती हा।,झुकने पर सिर में संक्रमण महसूस होती है।
परस ों गुलरअदा मेंबुखार अोने लगती है।,परसों गुर्दा में बुखार होने लगती है।
छाती मघिं दबाव नहसूस होतशा है।,छाती में दबाव महसूस होता है।
हाथ-पैर सुन्न हो जाते अैं।,हाथ-पैर सुन्न हो जाते हैं।
गर्तन घकूमाणेग मिं िदक्षक अै।,गर्दन घुमाने में दिक्कत है।
बरक की़त्वचा र गैष शुड़ू गोता हैस।,पलक की त्वचा पर गैस शुरू होता है।
बवाषीर की समस्या है।,बवासीर की समस्या है।
बोल झड़ रहे हैं।,बाल झड़ रहे हैं।
थोद़ा ग़ैसथ के साथ दसअत भ बन रगताहै।,थोड़ा गैस के साथ दस्त भी बना रहता है।
मुजे हडअदडि में कट बना रहात ह।,मुझे हड्डी में कट बना रहता है।
ए़डी मेंह तद हि।,एड़ी में दर्द है।
ठड मिं गार नेंढ बलगम बजढ़ जादीथ अै।,ठंड में गला में बलगम बढ़ जाती है।
भजन अछानक कसम हो गया है।,वजन अचानक कम हो गया है।
फरभार भें अल्सड़ क समस्या रही ै।,परिवार में अल्सर की समस्या रही है।
दवा लेणे के बाद भी छलाे शुरू होती है।,दवा लेने के बाद भी छाले शुरू होती है।
पिछले महीने से भौं में असहनीय चकअते शुरू गोता ै।,पिछले महीने से भौं में असहनीय चक्कर शुरू होता है।
गले में करेश है।,गले में खराश है।
चौड़ों में अकड़न है।,जोड़ों में अकड़न है।
वायेम कलने पर खांश रहता गै।,व्यायाम करने पर खांसी रहता है।
डॉक़्ड ने क़हा एन ीमिया ह।,डॉक्टर ने कहा एनीमिया है।
भ्यायम करने पर खाशी आती अै।,व्यायाम करने पर खांसी आती है।
पसली में सूजन है और चोट भी बनी रहती अै।,पसली में सूजन है और चोट भी बनी रहती है।
परसों छे नाक में रुखथ-रुक करसूजनव लआहते अे।,परसों से नाक में रुक-रुक कर सूजन रहती है।
बठणे खे पाद दिमाघ म बखार रत हा।,बैठने के बाद दिमाग में बुखार रहता है।
दाँत ें दर्द है।,दाँत में दर्द है।
गमी में हड्डी से ऐंठम होती है।,गर्मी में हड्डी से ऐंठन होती है।
कोहनी में सजन हि।,कोहनी में सूजन है।
कष़मरमें दर्द रगता गै।,कमर में दर्द रहता है।
व्या करने प दाने आता है।,व्यायाम करने पर दाने आता है।
तवच पर खुजली हती है।,त्वचा पर खुजली होती है।
घुटनेमें पानी भर गया है।,घुटने में पानी भर गया है।
पि शेब गा रगं ब गजा हे।,पेशाब का रंग बदल गया है।
मासीक धर्म अनियमित है।,मासिक धर्म अनियमित है।
ंन भैं नाक भें दने खगा जताि हे।,ठंड में नाक में दाने कम हो जाती है।
ुबह उठते ही दाँत मैं एलडव़ी रहतीझ ैह।,सुबह उठते ही दाँत में एलर्जी रहती है।
बाल ड़ रहे अैं।,बाल झड़ रहे हैं।
मुेझ इंफाखन हैऐ औरपंजा मिं कमरीोज बनी रहती है।,मुझे इंफेक्शन है और पंजा में कमजोरी बनी रहती है।
रात कु सोते समयपसली मेम नींत न आना बनी रगटी है।,रात को सोते समय पसली में नींद न आना बनी रहती है।
बेहद जुाम के साथ मजोरी भी ुरू हाथा हएै।,बेहद जुकाम के साथ कमजोरी भी शुरू होता है।
बाँह की त्वचा फर एसिडिटी आतीअै।,बाँह की त्वचा पर एसिडिटी आती है।
ंढ मान तमिग मेलं ोटरहत ै।,ठंड में दिमाग में चोट रहता है।
दवा ेलने के भाद भन फ्दैरक्र ़ध चाते अै।,दवा लेने के बाद भी फ्रैक्चर बढ़ जाता है।
ुमझे बीनटी अाऔर भौं में ठंन गलना क हा ज़ातो हा।,मुझे बीपी है और भौं में ठंड लगना कम हो जाता है।
पैशाब का रंग बडल गया गै।,पेशाब का रंग बदल गया है।
ठंड में छाती में छमक्रमण भहसू अोती ह।,ठंड में छाती में संक्रमण महसूस होती है।
जाजंच मं साइनसणिलखा है।,जाँच में साइनस निकला है।
झुकने पर गुर्दा मैं सूऊजन महसूस होती है।,झुकने पर गुर्दा में सूजन महसूस होती है।
पेठ पूला रहता है।,पेट फूला रहता है।
टखना को छूनै पर थोड़े खांी होता है।,टखना को छूने पर थोड़ा खांसी होता है।
नाक से गून आता है।,नाक से खून आता है।
ाखान ाखणे के बाद सुन्नपन कम हो जाती है।,खाना खाने के बाद सुन्नपन कम हो जाती है।
ाच नें किडी छ्टोन णिकला है।,जाँच में किडनी स्टोन निकला है।
पड़िवार में डायबिटीज़ की समषब्ये रही गै।,परिवार में डायबिटीज़ की समस्या रही है।
चनले फर भौं िमं खांशसी लगती है।,चलने पर भौं में खांसी लगती है।
चलने पर कंधा भेंबुार हती है।,चलने पर कंधा में बुखार होती है।
ुभजे फिश़ गै र हों मं छींक भगूछ होताहै।,मुझे फिशर है और होंठ में छींक महसूस होता है।
व्फयायाढम करनेअ पड़ वगमडमषूस होती है।,व्यायाम करने पर बलगम महसूस होती है।
मुझे एनीिमया है और कंधा नें खंासि कम हो जाता है।,मुझे एनीमिया है और कंधा में खांसी कम हो जाता है।
याददाश्त कमजोउल हो गई है।,याददाश्त कमजोर हो गई है।
अक्छर आँख मे चाट अोने लगती है।,अक्सर आँख में चोट होने लगती है।
थमड ेम बड ंली भउिंर एसीडेत रघट अ।,ठंड में पिंडली में एसिडिटी लगता है।
दोँत में दर्द हिण।,दाँत में दर्द है।
आज़नहीं निकऔल हरी।,आवाज़ नहीं निकल रही।
मैेर गरअदन में छींक और क ोदनों बना रहता हि।,मेरे गर्दन में छींक और कट दोनों बना रहता है।
जोड़ोम नें अकड़म है।,जोड़ों में अकड़न है।
सभह उठदे ही माठ मेम कपजष कमगो जात हमै।,सुबह उठते ही माथा में कब्ज कम हो जाती है।
राट को सोते समयगाल मैं भूख न ळगना आथती है।,रात को सोते समय गाल में भूख न लगना आती है।
बैऐठने के बाद दाँत में उल्टी बढ़ जादी है।,बैठने के बाद दाँत में उल्टी बढ़ जाती है।
वज अचभाकओ बढ़ ग़ईा ै।,वजन अचानक बढ़ गया है।
कओुहनीय ें सूजै।,कोहनी में सूजन है।
बाथभन ख बाठद पेड मेनउनकीर सुरू होत है।,बैठने के बाद पेट में नकसीर शुरू होता है।
परजिवार में िपसर खी समसअयेरही अै।,परिवार में फिशर की समस्या रही है।
चलने पड़ गुहनी में गमजोरी मसहूस होतगा है।,चलने पर कोहनी में कमजोरी महसूस होता है।
दणाँत लिाने पर गैस शुरु होता ैह।,दाँत हिलाने पर गैस शुरू होता है।
दॉक्टर ने क़ा फंगल है।,डॉक्टर ने कहा फंगल है।
वजसन अचाडनक म हवो गया है।,वजन अचानक कम हो गया है।
उँलियोऊंमे नझझनाटहहफोती है।,उँगलियों में झनझनाहट होती है।
सिर के आसपोस ंसक्रमजण और कम छलाठ महसस ोहदा हे।,सिर के आसपास संक्रमण और कम छाले महसूस होता है।
मुँह में छल हो गए हिं।,मुँह में छाले हो गए हैं।
जाचँ में हृदय रुख नकिरा है।,जाँच में हृदय रोग निकला है।
पैठमे के बाद पट में बलगभ रहथा है।,बैठने के बाद पेट में बलगम रहता है।
बेहद गठकफे ाठ दसत भे ळगदटी अै।,बेहद कट के साथ दस्त भी लगती है।
डॉक्टल ने कहा गॉरब्लैडल है।,डॉक्टर ने कहा गॉलब्लैडर है।
गरे में गरोश है।,गले में खराश है।
नस हीलाने ऐंठन मकहो जाती है।,नस हिलाने पर ऐंठन कम हो जाती है।
असहनीय नद न आना केऊात एलल्ज भ लकती है।,असहनीय नींद न आना के साथ एलर्जी भी लगती है।
पैड़ों में सूजन आ गईहै।,पैरों में सूजन आ गई है।
ोरत को छोते समय पलक में पसीना मअूस होती है।,रात को सोते समय पलक में पसीना महसूस होती है।
भुझ फिशर है और फेफड़े में घाहोती है।,मुझे फिशर है और फेफड़े में घाव होती है।
गोर ेमं षुमज हैऔड़ जलन भ लही है।,गाल में सूजन है और जलन भी रहती है।
सुब उठते हेमुँय में खां छी शुरू होटी है।,सुबह उठते ही मुँह में खांसी शुरू होती है।
मेरे ज़ाँघ मैं चुभन और छेले दोनों बना रहात गै।,मेरे जाँघ में चुभन और छाले दोनों बना रहता है।
दवा रेमे के पाध भी उळ्एटी लगटा है।,दवा लेने के बाद भी उल्टी लगता है।
अख्र से ोन में भेहदभ उल्टी ब़ ज़ाा हे।,अक्सर से कान में बेहद उल्टी बढ़ जाता है।
बचनद चानखब कम हौ याग हा।,वजन अचानक कम हो गया है।
मेरे कलाई ेमं बुखार औ़ खून आण दामों लगती है।,मेरे कलाई में बुखार और खून आना दोनों लगती है।
गाँसी में खून आता हैर।,खाँसी में खून आता है।
धा लेने क बोद भी चशोट महसूष अोी गै।,दवा लेने के बाद भी चोट महसूस होती है।
झुकनेपर जाड़ में जकड़न हसूस गोीत है।,झुकने पर जोड़ में जकड़न महसूस होती है।
फेपड़े ो छम पर रुक-़डुक कर खिंजाव अोती है।,फेफड़े को छूने पर रुक-रुक कर खिंचाव होती है।
बजह ोनसोआता है।,बेवजह रोना आता है।
होठ की त्वचा बर मोज ळगती है।,होंठ की त्वचा पर मोच लगती है।
डडॉटर नेड क़हाल अलछर है।,डॉक्टर ने कहा अल्सर है।
ठंद मेंध ड़ि ेमं उल्टी शुरूहोता गै।,ठंड में एड़ी में उल्टी शुरू होता है।
दिल की धड़कन तेच़ अो ाटी है।,दिल की धड़कन तेज़ हो जाती है।
चहेरेपर दाने मिकल आए हैं।,चेहरे पर दाने निकल आए हैं।
रात गर्टदम में घबराहटहथोनषे गती हि।,रात गर्दन में घबराहट होने लगती है।
झुखने बरक़ोहनी मे छाले कम़ ु ज़ाती है।,झुकने पर कोहनी में छाले कम हो जाती है।
कर्मरे में आक े मरोी शुरूहोी है।,गर्मी में आँख से कमजोरी शुरू होती है।
मुझे पीठ मंे कमचोरी बनी रअती ह।,मुझे पीठ में कमजोरी बनी रहती है।
ुसबह उठतड ि पठ में फधोठअ़ होते है।,सुबह उठते ही पीठ में फोड़ा होता है।
कमर ेमं ल्ड रअथा ै।,कमर में दर्द रहता है।
पेट में गैस बनी है।,पेट में गैस बनती है।
पेशाबभ बहार-बारा है।,पेशाब बार-बार आता है।
दिमाग की त्वचा पर फोड़ा लगद है।,दिमाग की त्वचा पर फोड़ा लगती है।
गला बैठाओ ुआ है।,गला बैठा हुआ है।
रात को लसोते समय बाँह मै ल्टी लगती है।,रात को सोते समय बाँह में उल्टी लगती है।
पिरों में छूजन आ गई ै।,पैरों में सूजन आ गई है।
तिज़ दस्त के साआथ फ़्रैकचर ी भहशूस होतझ है।,तेज़ दस्त के साथ फ्रैक्चर भी महसूस होता है।
शौचए में खूनआता है।,शौच में खून आता है।
पीरियठ्स मे हबतु दड़्ध हुथा है।,पीरियड्स में बहुत दर्द होता है।
षकनेपर पत में खासभी रहथ है।,झुकने पर पेट में खांसी रहती है।
उँगळियों मं झनजनाअटहोती है।,उँगलियों में झनझनाहट होती है।
पंजो के आसपास एलरजी औल तेज़ घाव बढ़ जातणा हैझ।,पंजा के आसपास एलर्जी और तेज़ घाव बढ़ जाता है।
व्यायाम खरने पर सूजम महसस होत है।,व्यायाम करने पर सूजन महसूस होता है।
ेतज़ ोड़ा का ाथस मोच भी भढ़ जाता है।,तेज़ फोड़ा के साथ मोच भी बढ़ जाता है।
मषुभ फशिर ैह औ णथुना में कध कम होज़ाता है।,मुझे फिशर है और नथुना में धड़कन कम हो जाता है।
पड़िवोर में कोलेस्ट्रॉल की छमस्या रगी है।,परिवार में कोलेस्ट्रॉल की समस्या रही है।
नस को चूने परलुकरु-क कठड़ निद न ना महूश ोहती अै।,नस को छूने पर रुक-रुक कर नींद न आना महसूस होती है।
गर्दन घुमने में धिग्द अै।,गर्दन घुमाने में दिक्कत है।
रात को सोते समय पसली मिं गैस रहता है।,रात को सोते समय पसली में गैस रहता है।
सांस लेने में तकलीफ हएोती है।,सांस लेने में तकलीफ होती है।
ाकन क़ो छोेन परतेज़ सऔूजन बनारहता है।,कान को छूने पर तेज़ सूजन बना रहता है।
नड़ गाल मढें खून आना और जुका तोनुनम ु जादा हैथ।,मेरे गाल में खून आना और जुकाम दोनों कम हो जाता है।
पीड़ेयठ्स में बहत दर्द होते है।,पीरियड्स में बहुत दर्द होता है।
व्येजाम करने पर छींक आता है।,व्यायाम करने पर छींक आता है।
पड में सूजन गणे औड़ एळर्जी भी होता है।,पीठ में सूजन है और एलर्जी भी होता है।
चिहरे पर देने निकल आए हैं।,चेहरे पर दाने निकल आए हैं।
मरेठा नथुमा ामफधबराहठ औरबरगम ोनों महसूस होती ह।,मेरे नथुना में घबराहट और बलगम दोनों महसूस होती है।
चलने आँखें कट रहता हि।,चलने पर आँख में कट रहता है।
ॉक्टर े कअाडिप्रेषन है।,डॉक्टर ने कहा डिप्रेशन है।
खाना खाने के पाद छाले आता है।,खाना खाने के बाद छाले आता है।
मासिक धर्भ अनिईमिट है।,मासिक धर्म अनियमित है।
कला बैठा हुआ है।,गला बैठा हुआ है।
खोहनी में सूजऐन है।,कोहनी में सूजन है।
फेड में गैस तव है।,पेट में गैस बनती है।
ीथ केड आसपास खुजी औल तोड़ा चकअर शरू अोती हशा।,पीठ के आसपास खुजली और थोड़ा चक्कर शुरू होती है।
कोहणी की त्वचा पड़ छालेहाता है।,कोहनी की त्वचा पर छाले होता है।
दाँत में दरअद है।,दाँत में दर्द है।
ठोड़ी क़ो छूने बर ज़्यादा जुकाप होते है।,ठोड़ी को छूने पर ज़्यादा जुकाम होती है।
खाँसी में खून आथा है।,खाँसी में खून आता है।
चिड़चिड़पन ढ़ गया है।,चिड़चिड़ापन बढ़ गया है।
हा-थड़ सुनन् ोजाते ैह।,हाथ-पैर सुन्न हो जाते हैं।
ठडमें फेगभड़ेमें एरल्जी महसूस होता है।,ठंड में फेफड़े में एलर्जी महसूस होता है।
णंद में खलल ट़ रहईी ।,नींद में खलल पड़ रही है।
वजण चअामक ढ़ गो ा।,वजन अचानक बढ़ गया है।
उँगलियों में झननझाह होती हखै।,उँगलियों में झनझनाहट होती है।
दँटकि आसपास सजणण और कभ कमजोरी रही हे।,दाँत के आसपास सूजन और कम कमजोरी रहती है।
फेफड़े कची त्वज पड़ ऐंठ लगती अै।,फेफड़े की त्वचा पर ऐंठन लगती है।
ठोड़ी के आसपास ठंड लगना औल काभी छाले लगती अै।,ठोड़ी के आसपास ठंड लगना और काफी छाले लगती है।
मारै दिल िं लबकम औरछालि दान ुं गोथ है।,मेरे दिल में बलगम और छाले दोनों होती है।
जोड़ों ेमंतअक़टन ैह।,जोड़ों में अकड़न है।
मुफहमंे छारे हो गए हैं।,मुँह में छाले हो गए हैं।
खेनरा खान के बाड नकसीर होीहै।,खाना खाने के बाद नकसीर होती है।
मुझे पशली मेंट छाे रहता है।,मुझे पसली में छाले रहता है।
व्यायाम करने बर खून आना बध़ जाती अै।,व्यायाम करने पर खून आना बढ़ जाती है।
बेएवजह रोनटा आताहै।,बेवजह रोना आता है।
चेहरषेझ पड़ दािन नि क़ल आए हैं।,चेहरे पर दाने निकल आए हैं।
मुझे घुठना नें बलगम कम हो जाता है।,मुझे घुटना में बलगम कम हो जाता है।
पेसरव भैन जलन हो है।,पेशाब में जलन होती है।
बाल षड़ रहे हैं।,बाल झड़ रहे हैं।
आवाझ़ नहीं निकल रही।,आवाज़ नहीं निकल रही।
खले हिलाे फ़ उर ्टी तअा ै।,गला हिलाने पर उल्टी होता है।
जेँच में फिशर निकला अै।,जाँच में फिशर निकला है।
जाँच मेंकिडनी स्टोन नेकला है।,जाँच में किडनी स्टोन निकला है।
तलवे ेभं लण ोतीहै।,तलवे में जलन होती है।
बिहद पसिनाखेफ साथ चुभन भइी बनी हती है।,बेहद पसीना के साथ चुभन भी बनी रहती है।
जाँच में फिशड़थ निकला है।,जाँच में फिशर निकला है।
चऱ से हेथ मेगं तेज़ धकन भहसूस हात हैज।,रोज़ से हाथ में तेज़ धड़कन महसूस होता है।
नाखूम की द्भच बर ख़ांछी लगती गैघ।,नाखून की त्वचा पर खांसी लगती है।
